begin_time ET
4477 0.020968
4477.02 0.020929
4477.04 0.020885
4477.07 0.020854
4477.09 0.020922
4477.11 0.020766
4477.13 0.022362
4477.15 0.020849
4477.17 0.020874
4477.19 0.02085
4477.21 0.020766
4477.23 0.020789
4477.25 0.020816
4477.28 0.02102
4477.3 0.021165
4477.32 0.020984
4477.34 0.020976
4477.36 0.02094
4477.38 0.020853
4477.4 0.021022
4477.42 0.020993
4477.44 0.021082
4477.46 0.021041
4477.49 0.021083
4477.51 0.020998
4477.53 0.021004
4477.55 0.021048
4477.57 0.02098
4477.59 0.020947
4477.61 0.021026
4477.63 0.020937
4477.65 0.020916
4477.67 0.02346
4477.7 0.021171
4477.72 0.021115
4477.74 0.021052
4477.76 0.021325
4477.78 0.021036
4477.8 0.020976
4477.82 0.023871
4477.85 0.020948
4477.87 0.023518
4477.89 0.020986
4477.91 0.021254
4477.94 0.021102
4477.96 0.023734
4477.98 0.021546
4478 0.021049
4478.02 0.022077
4478.04 0.021683
4478.07 0.020852
4478.09 0.02301
4478.11 0.021521
4478.13 0.020821
4478.15 0.021398
4478.17 0.021855
4478.2 0.020928
4478.22 0.0215
4478.24 0.02167
4478.26 0.021679
4478.28 0.021013
4478.3 0.021976
4478.33 0.021624
4478.35 0.020946
4478.37 0.021597
4478.39 0.021808
4478.41 0.02103
4478.43 0.021618
4478.45 0.021985
4478.48 0.02098
4478.5 0.021506
4478.52 0.021382
4478.54 0.021436
4478.56 0.021499
4478.58 0.021084
4478.6 0.02095
4478.62 0.020943
4478.65 0.020815
4478.67 0.020867
4478.69 0.020928
4478.71 0.020878
4478.73 0.021077
4478.75 0.02095
4478.77 0.020976
4478.79 0.021018
4478.81 0.020995
4478.83 0.021009
4478.86 0.020998
4478.88 0.020837
4478.9 0.020784
4478.92 0.020917
4478.94 0.020847
4478.96 0.020851
4478.98 0.021084
4479 0.0209
4479.02 0.020896
4479.04 0.020905
4479.06 0.020827
4479.09 0.020812
4479.11 0.02096
4479.13 0.020959
4479.15 0.02096
4479.17 0.02325
4479.19 0.021115
4479.21 0.02102
4479.23 0.020985
4479.26 0.020988
4479.28 0.020999
4479.3 0.020963
4479.32 0.020943
4479.34 0.021014
4479.36 0.020885
4479.38 0.020938
4479.4 0.020849
4479.42 0.020829
4479.44 0.020938
4479.47 0.021308
4479.49 0.020867
4479.51 0.020894
4479.53 0.020995
4479.55 0.020858
4479.57 0.020816
4479.59 0.021004
4479.61 0.021218
4479.63 0.02086
4479.65 0.020809
4479.67 0.020902
4479.7 0.021097
4479.72 0.021062
4479.74 0.020961
4479.76 0.021398
4479.78 0.021106
4479.8 0.020869
4479.82 0.021149
4479.84 0.020854
4479.86 0.020829
4479.89 0.020856
4479.91 0.021475
4479.93 0.021029
4479.95 0.020959
4479.97 0.021026
4479.99 0.02096
4480.01 0.021178
4480.03 0.020999
4480.05 0.021048
4480.07 0.021404
4480.1 0.021135
4480.12 0.020963
4480.14 0.021199
4480.16 0.020906
4480.18 0.020904
4480.2 0.020889
4480.22 0.020967
4480.24 0.021445
4480.26 0.02094
4480.29 0.020886
4480.31 0.020929
4480.33 0.021367
4480.35 0.021018
4480.37 0.020946
4480.39 0.020988
4480.41 0.021427
4480.43 0.021098
4480.45 0.021007
4480.48 0.021025
4480.5 0.021007
4480.52 0.021388
4480.54 0.021171
4480.56 0.023319
4480.58 0.021099
4480.6 0.021405
4480.63 0.021174
4480.65 0.021596
4480.67 0.022525
4480.69 0.021
4480.71 0.021037
4480.73 0.020995
4480.75 0.020948
4480.78 0.020941
4480.8 0.02144
4480.82 0.020898
4480.84 0.020779
4480.86 0.020759
4480.88 0.020859
4480.9 0.020832
4480.92 0.021099
4480.94 0.020852
4480.96 0.020916
4480.98 0.020782
4481.01 0.021187
4481.03 0.020913
4481.05 0.021046
4481.07 0.020958
4481.09 0.02089
4481.11 0.020982
4481.13 0.02347
4481.16 0.021242
4481.18 0.020989
4481.2 0.020946
4481.22 0.021315
4481.24 0.021048
4481.26 0.022296
4481.28 0.022912
4481.31 0.020465
4481.33 0.020441
4481.35 0.020946
4481.37 0.02037
4481.39 0.020324
4481.41 0.020763
4481.43 0.020417
4481.45 0.020367
4481.47 0.020782
4481.49 0.020795
4481.51 0.020358
4481.53 0.020323
4481.55 0.020749
4481.57 0.020306
4481.59 0.020387
4481.61 0.020824
4481.64 0.020356
4481.66 0.020332
4481.68 0.020382
4481.7 0.020417
4481.72 0.020315
4481.74 0.020392
4481.76 0.020451
4481.78 0.020452
4481.8 0.023879
4481.82 0.020552
4481.84 0.020463
4481.86 0.020389
4481.88 0.020467
4481.9 0.020726
4481.92 0.020334
4481.95 0.020404
4481.97 0.020438
4481.99 0.02048
4482.01 0.020798
4482.03 0.020801
4482.05 0.020357
4482.07 0.020224
4482.09 0.020968
4482.11 0.020382
4482.13 0.02085
4482.15 0.020505
4482.17 0.020785
4482.19 0.020225
4482.21 0.020287
4482.23 0.021166
4482.25 0.020245
4482.27 0.020329
4482.29 0.020351
4482.32 0.020754
4482.34 0.020815
4482.36 0.020525
4482.38 0.020594
4482.4 0.020294
4482.42 0.020353
4482.44 0.020703
4482.46 0.020234
4482.48 0.020515
4482.5 0.02067
4482.52 0.020288
4482.54 0.020276
4482.56 0.020681
4482.58 0.020603
4482.6 0.02037
4482.62 0.021094
4482.64 0.020446
4482.66 0.020274
4482.68 0.020507
4482.71 0.020777
4482.73 0.020286
4482.75 0.020355
4482.77 0.020432
4482.79 0.021027
4482.81 0.020477
4482.83 0.020269
4482.85 0.020412
4482.87 0.020325
4482.89 0.020239
4482.91 0.020313
4482.93 0.022505
4482.95 0.020382
4482.97 0.020302
4482.99 0.020333
4483.01 0.020675
4483.03 0.020259
4483.06 0.02028
4483.08 0.020538
4483.1 0.020436
4483.12 0.020488
4483.14 0.020432
4483.16 0.020262
4483.18 0.020307
4483.2 0.020395
4483.22 0.020336
4483.24 0.020461
4483.26 0.020359
4483.28 0.020245
4483.3 0.020332
4483.32 0.020293
4483.34 0.020384
4483.36 0.02041
4483.38 0.020938
4483.4 0.020981
4483.42 0.020506
4483.44 0.02048
4483.46 0.020504
4483.48 0.020437
4483.51 0.020381
4483.53 0.020314
4483.55 0.020218
4483.57 0.020243
4483.59 0.020507
4483.61 0.020617
4483.63 0.020483
4483.65 0.020542
4483.67 0.0205
4483.69 0.020453
4483.71 0.020518
4483.73 0.020385
4483.75 0.020351
4483.77 0.020422
4483.79 0.020344
4483.81 0.022391
4483.83 0.020319
4483.85 0.020327
4483.87 0.020335
4483.9 0.020414
4483.92 0.020358
4483.94 0.020393
4483.96 0.020424
4483.98 0.020476
4484 0.020378
4484.02 0.020339
4484.04 0.020536
4484.06 0.020467
4484.08 0.020452
4484.1 0.020468
4484.12 0.020399
4484.14 0.020375
4484.16 0.020445
4484.18 0.021191
4484.2 0.02043
4484.22 0.020849
4484.24 0.020462
4484.26 0.020419
4484.28 0.020812
4484.31 0.02038
4484.33 0.020426
4484.35 0.020823
4484.37 0.020373
4484.39 0.020394
4484.41 0.020861
4484.43 0.020512
4484.45 0.020454
4484.47 0.020376
4484.49 0.02082
4484.51 0.020452
4484.53 0.020555
4484.55 0.021315
4484.57 0.020958
4484.59 0.020405
4484.61 0.020411
4484.64 0.020933
4484.66 0.020355
4484.68 0.020247
4484.7 0.020643
4484.72 0.020354
4484.74 0.020382
4484.76 0.022896
4484.78 0.020395
4484.8 0.020358
4484.82 0.020433
4484.84 0.020663
4484.86 0.020609
4484.88 0.020386
4484.9 0.020413
4484.92 0.020441
4484.95 0.020392
4484.97 0.020363
4484.99 0.020544
4485.01 0.020298
4485.03 0.020415
4485.05 0.020385
4485.07 0.020562
4485.09 0.020383
4485.11 0.02048
4485.13 0.020411
4485.15 0.020416
4485.17 0.020393
4485.19 0.020406
4485.21 0.020373
4485.23 0.020481
4485.25 0.020411
4485.27 0.020503
4485.29 0.020386
4485.31 0.02029
4485.33 0.020319
4485.35 0.020357
4485.37 0.020411
4485.39 0.020291
4485.41 0.020374
4485.44 0.020496
4485.46 0.022529
4485.48 0.020448
4485.5 0.02051
4485.52 0.020539
4485.54 0.020812
4485.56 0.020363
4485.58 0.020389
4485.6 0.020288
4485.62 0.020272
4485.64 0.020785
4485.66 0.020418
4485.68 0.02057
4485.7 0.020406
4485.72 0.020464
4485.74 0.020539
4485.77 0.020622
4485.79 0.020572
4485.81 0.020528
4485.83 0.020903
4485.85 0.022252
4485.87 0.020354
4485.89 0.020262
4485.91 0.020302
4485.93 0.020728
4485.95 0.020277
4485.97 0.020247
4485.99 0.02049
4486.01 0.02043
4486.03 0.020347
4486.05 0.020317
4486.07 0.020829
4486.09 0.020293
4486.12 0.020321
4486.14 0.02037
4486.16 0.020379
4486.18 0.020401
4486.2 0.020829
4486.22 0.020383
4486.24 0.020372
4486.26 0.020362
4486.28 0.02039
4486.3 0.020413
4486.32 0.020909
4486.34 0.020362
4486.36 0.020272
4486.38 0.020184
4486.4 0.020299
4486.42 0.022326
4486.44 0.020951
4486.46 0.020887
4486.49 0.02082
4486.51 0.020862
4486.53 0.021331
4486.55 0.020853
4486.57 0.02128
4486.59 0.021078
4486.61 0.020893
4486.63 0.021289
4486.65 0.021177
4486.68 0.021097
4486.7 0.020971
4486.72 0.02104
4486.74 0.021325
4486.76 0.02091
4486.78 0.020992
4486.8 0.021065
4486.82 0.021016
4486.84 0.020979
4486.87 0.021106
4486.89 0.021057
4486.91 0.020957
4486.93 0.023094
4486.95 0.020938
4486.97 0.020913
4486.99 0.021032
4487.01 0.021449
4487.04 0.020959
4487.06 0.020925
4487.08 0.020999
4487.1 0.021067
4487.12 0.020949
4487.14 0.020993
4487.16 0.021044
4487.18 0.02089
4487.2 0.020808
4487.22 0.02087
4487.25 0.0209
4487.27 0.020973
4487.29 0.02097
4487.31 0.021195
4487.33 0.020857
4487.35 0.020858
4487.37 0.020967
4487.39 0.021322
4487.41 0.021026
4487.43 0.021068
4487.46 0.020988
4487.48 0.020939
4487.5 0.020883
4487.52 0.021327
4487.54 0.021097
4487.56 0.021072
4487.58 0.021007
4487.6 0.021368
4487.62 0.021088
4487.65 0.021122
4487.67 0.020912
4487.69 0.020941
4487.71 0.021363
4487.73 0.020845
4487.75 0.020842
4487.77 0.020849
4487.79 0.021107
4487.81 0.020862
4487.83 0.020814
4487.86 0.020981
4487.88 0.021186
4487.9 0.02085
4487.92 0.02088
4487.94 0.02128
4487.96 0.020883
4487.98 0.021183
4488 0.021071
4488.02 0.021182
4488.05 0.021471
4488.07 0.021309
4488.09 0.023386
4488.11 0.021079
4488.13 0.023494
4488.16 0.021085
4488.18 0.020951
4488.2 0.02095
4488.22 0.020811
4488.24 0.021187
4488.26 0.020891
4488.28 0.020937
4488.3 0.02097
4488.32 0.020887
4488.34 0.020853
4488.37 0.020858
4488.39 0.020917
4488.41 0.020871
4488.43 0.02131
4488.45 0.020872
4488.47 0.022292
4488.49 0.020876
4488.51 0.020944
4488.53 0.022269
4488.56 0.021155
4488.58 0.021461
4488.6 0.021257
4488.62 0.021168
4488.64 0.021078
4488.66 0.021671
4488.68 0.021017
4488.71 0.021181
4488.73 0.021492
4488.75 0.021005
4488.77 0.022904
4488.79 0.021436
4488.81 0.020983
4488.83 0.021176
4488.86 0.020933
4488.88 0.021169
4488.9 0.020944
4488.92 0.021309
4488.94 0.02087
4488.96 0.02103
4488.98 0.021008
4489 0.021099
4489.02 0.021522
4489.05 0.020947
4489.07 0.020971
4489.09 0.021409
4489.11 0.020965
4489.13 0.020985
4489.15 0.021009
4489.17 0.021483
4489.19 0.020939
4489.21 0.020987
4489.24 0.021364
4489.26 0.02096
4489.28 0.021067
4489.3 0.021113
4489.32 0.021512
4489.34 0.021319
4489.36 0.020856
4489.38 0.02084
4489.41 0.020973
4489.43 0.02095
4489.45 0.020886
4489.47 0.020945
4489.49 0.020894
4489.51 0.020856
4489.53 0.020849
4489.55 0.020882
4489.57 0.021212
4489.59 0.020995
4489.61 0.021199
4489.64 0.020962
4489.66 0.020953
4489.68 0.020971
4489.7 0.021577
4489.72 0.021019
4489.74 0.020884
4489.76 0.02084
4489.78 0.020867
4489.8 0.020821
4489.82 0.020863
4489.85 0.0209
4489.87 0.02101
4489.89 0.020994
4489.91 0.021053
4489.93 0.020998
4489.95 0.021059
4489.97 0.02107
4489.99 0.021019
4490.01 0.021004
4490.04 0.02099
4490.06 0.020932
4490.08 0.020992
4490.1 0.021111
4490.12 0.02104
4490.14 0.02103
4490.16 0.020929
4490.18 0.020973
4490.2 0.021018
4490.22 0.021015
4490.25 0.021034
4490.27 0.021008
4490.29 0.021008
4490.31 0.02091
4490.33 0.020996
4490.35 0.020945
4490.37 0.021062
4490.39 0.020966
4490.41 0.021336
4490.43 0.021022
4490.46 0.021062
4490.48 0.021051
4490.5 0.020983
4490.52 0.020955
4490.54 0.021312
4490.56 0.020994
4490.58 0.021016
4490.6 0.020977
4490.62 0.022853
4490.65 0.021883
4490.67 0.020938
4490.69 0.021343
4490.71 0.021064
4490.73 0.023138
4490.76 0.021472
4490.78 0.02133
4490.8 0.020979
4490.82 0.020928
4490.84 0.020976
4490.86 0.02095
4490.88 0.021401
4490.9 0.020976
4490.92 0.021012
4490.95 0.02098
4490.97 0.02149
4490.99 0.02094
4491.01 0.020998
4491.03 0.020969
4491.05 0.020967
4491.07 0.021391
4491.09 0.021115
4491.11 0.020921
4491.14 0.020934
4491.16 0.020831
4491.18 0.021277
4491.2 0.020798
4491.22 0.020825
4491.24 0.020853
4491.26 0.021078
4491.28 0.020987
4491.3 0.020858
4491.32 0.02086
4491.35 0.021223
4491.37 0.020856
4491.39 0.020916
4491.41 0.020785
4491.43 0.020848
4491.45 0.020882
4491.47 0.020857
4491.49 0.020896
4491.51 0.020883
4491.53 0.020819
4491.55 0.020963
4491.58 0.020787
4491.6 0.021103
4491.62 0.023098
4491.64 0.021161
4491.66 0.021174
4491.68 0.021018
4491.7 0.020888
4491.72 0.021233
4491.75 0.020789
4491.77 0.020865
4491.79 0.020871
4491.81 0.020934
4491.83 0.020918
4491.85 0.020951
4491.87 0.02096
4491.89 0.020995
4491.91 0.020932
4491.93 0.020908
4491.96 0.020958
4491.98 0.02096
4492 0.021125
4492.02 0.020887
4492.04 0.020884
4492.06 0.020942
4492.08 0.021022
4492.1 0.020994
4492.12 0.020984
4492.14 0.021017
4492.16 0.020954
4492.19 0.020973
4492.21 0.021005
4492.23 0.022269
4492.25 0.022414
4492.27 0.021161
4492.29 0.021186
4492.32 0.02291
4492.34 0.020991
4492.36 0.021054
4492.38 0.021049
4492.4 0.020987
4492.42 0.021065
4492.44 0.020974
4492.46 0.020985
4492.49 0.020887
4492.51 0.020948
4492.53 0.020999
4492.55 0.02095
4492.57 0.023093
4492.59 0.020947
4492.61 0.023197
4492.64 0.020985
4492.66 0.020972
4492.68 0.020999
4492.7 0.02102
4492.72 0.021015
4492.74 0.02102
4492.76 0.020451
4492.78 0.020501
4492.8 0.020474
4492.82 0.020335
4492.84 0.0205
4492.86 0.020356
4492.89 0.020473
4492.91 0.020779
4492.93 0.020862
4492.95 0.020326
4492.97 0.020452
4492.99 0.020369
4493.01 0.02047
4493.03 0.02045
4493.05 0.020869
4493.07 0.02043
4493.09 0.020518
4493.11 0.020378
4493.13 0.020409
4493.15 0.020373
4493.17 0.020322
